epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7421,1.38252,2.14425,1.41237,0.54677,0.62619,0.58194,0.29763,1.50441,1.90995,1.608,0.000553505,0.000553505,0.000553505
2,109.478,1.357,1.47977,1.37249,0.75253,0.64186,0.73272,0.42261,1.47364,1.25055,1.51038,0.00108721,0.00108721,0.00108721
3,160.007,1.36399,1.27343,1.3567,0.74136,0.64542,0.72189,0.4133,1.46928,1.50335,1.53445,0.00159891,0.00159891,0.00159891
4,210.809,1.30717,1.17385,1.33816,0.75978,0.64042,0.71862,0.3894,1.62651,1.33588,1.67761,0.00156798,0.00156798,0.00156798
5,264.116,1.28197,1.08387,1.31538,0.82133,0.73844,0.82059,0.47884,1.31398,0.95969,1.43416,0.00153497,0.00153497,0.00153497
6,318.44,1.23148,1.01419,1.2849,0.81956,0.70953,0.78369,0.47933,1.34617,0.98562,1.44627,0.00150197,0.00150197,0.00150197
7,371.833,1.20576,0.95139,1.26678,0.81965,0.77859,0.85595,0.53979,1.27256,0.84615,1.36236,0.00146896,0.00146896,0.00146896
8,425.266,1.16821,0.91939,1.25482,0.85576,0.77603,0.86553,0.54318,1.24231,0.86829,1.36249,0.00143595,0.00143595,0.00143595
9,478.102,1.13835,0.88147,1.22608,0.86112,0.8351,0.88118,0.58391,1.18101,0.78456,1.31047,0.00140295,0.00140295,0.00140295
10,530.946,1.11318,0.83929,1.21665,0.88238,0.77918,0.86564,0.57514,1.1751,0.75741,1.30461,0.00136994,0.00136994,0.00136994
11,584.403,1.1069,0.831,1.20532,0.81746,0.75543,0.8236,0.52006,1.28639,0.84424,1.4001,0.00133693,0.00133693,0.00133693
12,637.338,1.07306,0.8015,1.18672,0.86103,0.82944,0.89407,0.60733,1.1295,0.71761,1.28209,0.00130393,0.00130393,0.00130393
13,689.681,1.05211,0.76946,1.18502,0.84684,0.82182,0.87166,0.58758,1.17944,0.74502,1.32362,0.00127092,0.00127092,0.00127092
